date,district_city,cases
"May 8, 2020",বগুড়া,18
"May 11, 2020",বগুড়া,18
"May 10, 2020",বগুড়া,18
"May 9, 2020",বগুড়া,18
"May 12, 2020",বগুড়া,18
"May 9, 2020",ফরিদপুর,21
"May 8, 2020",ফরিদপুর,21
"May 10, 2020",ফরিদপুর,24
"May 9, 2020",নোয়াখালী,27
"May 8, 2020",নোয়াখালী,27
"May 8, 2020",সিলেট,28
"May 9, 2020",সিলেট,28
"May 16, 2020",বগুড়া,29
"May 15, 2020",বগুড়া,29
"May 14, 2020",বগুড়া,29
"May 10, 2020",নোয়াখালী,30
"May 11, 2020",ফরিদপুর,31
"May 12, 2020",ফরিদপুর,32
"May 11, 2020",সিলেট,36
"May 10, 2020",সিলেট,36
"May 12, 2020",সিলেট,39
"May 15, 2020",সিলেট,39
"May 14, 2020",সিলেট,39
"May 16, 2020",সিলেট,40
"May 17, 2020",বগুড়া,45
"May 14, 2020",ফরিদপুর,47
"May 21, 2020",সিলেট,48
"May 20, 2020",সিলেট,48
"May 19, 2020",সিলেট,48
"May 17, 2020",সিলেট,48
"May 11, 2020",নোয়াখালী,48
"May 22, 2020",সিলেট,48
"May 8, 2020",গোপালগঞ্জ,49
"May 9, 2020",গোপালগঞ্জ,50
"May 15, 2020",ফরিদপুর,51
"May 16, 2020",ফরিদপুর,55
"May 10, 2020",গোপালগঞ্জ,56
"May 17, 2020",ফরিদপুর,56
"May 19, 2020",বগুড়া,56
"May 11, 2020",গোপালগঞ্জ,58
"May 12, 2020",নোয়াখালী,59
"May 12, 2020",গোপালগঞ্জ,62
"May 21, 2020",বগুড়া,63
"May 20, 2020",বগুড়া,63
"May 8, 2020",নেত্রকোনা,64
"May 14, 2020",গোপালগঞ্জ,65
"May 10, 2020",নেত্রকোনা,68
"May 9, 2020",নেত্রকোনা,68
"May 19, 2020",ফরিদপুর,69
"May 14, 2020",নোয়াখালী,69
"May 11, 2020",নেত্রকোনা,70
"May 9, 2020",হবিগঞ্জ,70
"May 8, 2020",হবিগঞ্জ,70
"May 8, 2020",কক্সবাজার,72
"May 10, 2020",হবিগঞ্জ,73
"May 11, 2020",হবিগঞ্জ,74
"May 9, 2020",কক্সবাজার,77
"May 15, 2020",গোপালগঞ্জ,78
"May 9, 2020",যশোর,79
"May 8, 2020",যশোর,79
"May 11, 2020",যশোর,79
"May 10, 2020",যশোর,79
"May 12, 2020",নেত্রকোনা,81
