division_code,dist_code,sub_dist_code,union_code,mah_code,rmo_1,node_hash,admin_unit_t1,area,total_household,pop_total,pop_in_house,pop_floating,pop_density,admin_unit_t3,rmo_3,num_general_household,household_1person,household_2person,household_3person,household_4person,household_5person,household_6person,household_7person,household_8+person,avg_household_size,admin_unit_t4,rmo_4,all_age_pop,0-4,5-9,10-14,15-19,20-24,25-29,30-49,50-59,60-64,65+
30,48,,,,,3048,Kishoregonj Zila Total,664365,627322,2911907,2910318,1589,1083,Kishoregonj Zila Total,,623914,4.3,10.1,16.1,20.9,19.2,13.3,7.7,8.3,4.6,Kishoregonj Zila Total,,2911907,12.8,15.5,12.3,7.9,7.7,8.0,21.6,6.2,2.8,5.2
30,48,,,,1,30481,Kishoregonj Zila,,522791,2422877,2422169,708,,Kishoregonj Zila,1,521579,4.3,10.2,16.0,20.6,19.2,13.5,7.8,8.3,4.6,Kishoregonj Zila,1,2422877,13.2,15.9,12.3,7.6,7.5,7.9,21.3,6.2,2.9,5.4
30,48,,,,2,30482,Kishoregonj Zila,,86970,408762,407967,795,,Kishoregonj Zila,2,84997,3.8,9.4,17.3,22.7,19.1,12.3,6.9,8.4,4.6,Kishoregonj Zila,2,408762,10.5,13.0,12.5,10.0,9.2,8.8,23.3,6.1,2.4,4.2
30,48,,,,3,30483,Kishoregonj Zila,,17561,80268,80182,86,,Kishoregonj Zila,3,17338,4.8,10.2,15.9,20.3,19.9,13.4,7.8,7.7,4.6,Kishoregonj Zila,3,80268,12.4,14.6,11.7,8.0,7.7,8.4,23.1,6.2,3.0,5.0
30,48,02,,,,304802,Austagram Upazila Total,87855,31129,152523,152376,147,429,Austagram Upazila Total,,31053,3.5,9.5,14.4,18.7,19.1,14.8,9.2,10.8,4.9,Austagram Upazila Total,,152523,15.0,16.4,11.3,7.3,7.3,8.1,21.1,5.6,2.8,5.2
30,48,02,,,1,3048021,Austagram Upazila,,27180,135123,135051,72,,Austagram Upazila,1,27132,3.1,9.2,14.1,18.5,19.1,15.2,9.5,11.4,5.0,Austagram Upazila,1,135123,15.3,16.6,11.2,7.3,7.3,8.0,20.8,5.5,2.8,5.2
30,48,02,,,3,3048023,Austagram Upazila,,3949,17400,17325,75,,Austagram Upazila,3,3921,6.4,11.9,16.8,19.8,18.9,12.5,7.2,6.5,4.4,Austagram Upazila,3,17400,13.1,14.5,11.7,7.4,7.4,8.2,23.1,6.2,3.1,5.3
30,48,02,11,,,30480211,Adampur Union Total,9386,5116,24182,24182,0,637,Adampur Union Total,,5109,2.9,11.3,15.7,18.8,18.6,14.9,8.5,9.3,4.7,Adampur Union Total,,24182,15.2,16.6,11.5,6.8,7.5,8.1,21.2,5.4,2.9,4.8
30,48,02,11,033,1,304802110331,*Adampur,,1402,6743,6743,0,,*Adampur,1,1398,1.6,11.7,14.2,19.8,17.8,16.3,8.5,10.0,4.8,*Adampur,1,6743,15.3,17.3,12.0,6.3,7.9,8.2,20.2,5.6,2.8,4.4
30,48,02,11,033 01,1,30480211033 011,Nurpur,,750,3738,3738,0,,Nurpur,1,747,1.6,11.0,13.3,18.5,18.5,16.5,7.6,13.1,5.0,Nurpur,1,3738,15.5,17.2,11.9,5.9,8.7,8.4,20.1,5.4,2.7,4.2
30,48,02,11,033 02,1,30480211033 021,Balur Char,,233,1187,1187,0,,Balur Char,1,233,0.9,5.2,11.6,21.9,20.2,20.2,11.2,9.0,5.1,Balur Char,1,1187,13.1,17.5,14.3,8.7,6.3,7.3,20.3,4.5,3.1,4.7
30,48,02,11,033 03,1,30480211033 031,Adampur,,419,1818,1818,0,,Adampur,1,418,1.9,16.7,17.5,21.1,15.3,13.9,8.6,5.0,4.3,Adampur,1,1818,16.2,17.3,10.7,5.7,7.1,8.4,20.5,6.5,2.9,4.7
30,48,02,11,050,1,304802110501,*Adampur Laura,,2125,9718,9718,0,,*Adampur Laura,1,2123,4.4,13.0,16.7,17.1,18.2,14.1,8.1,8.4,4.6,*Adampur Laura,1,9718,15.8,17.4,11.2,6.4,7.3,8.5,21.2,4.8,2.7,4.7
30,48,02,11,050 01,1,30480211050 011,Ayanarkandi,,256,977,977,0,,Ayanarkandi,1,256,7.8,17.2,23.8,18.0,14.5,10.5,5.5,2.7,3.8,Ayanarkandi,1,977,15.6,17.6,13.4,5.7,7.3,7.8,20.4,5.1,2.9,4.3
30,48,02,11,050 02,1,30480211050 021,Bairagikandi,,831,4200,4200,0,,Bairagikandi,1,829,3.3,8.6,13.8,15.8,19.2,17.1,10.6,11.7,5.1,Bairagikandi,1,4200,14.2,17.5,11.4,6.6,6.7,9.0,22.6,5.0,2.9,4.3
30,48,02,11,050 03,1,30480211050 031,Tokarkandi,,366,1476,1476,0,,Tokarkandi,1,366,4.6,17.5,20.8,19.1,18.6,9.6,5.7,4.1,4.0,Tokarkandi,1,1476,17.5,18.6,11.5,6.0,6.7,8.7,20.0,3.5,1.8,5.7
30,48,02,11,050 04,1,30480211050 041,Nayahati,,239,1184,1184,0,,Nayahati,1,239,4.6,9.6,13.4,19.7,16.3,13.4,8.4,14.6,5.0,Nayahati,1,1184,18.1,16.6,10.1,6.5,9.1,7.0,19.5,4.6,2.4,6.2
30,48,02,11,050 05,1,30480211050 051,Laura,,260,1135,1135,0,,Laura,1,260,3.1,18.1,15.4,18.8,17.3,15.4,5.4,6.5,4.4,Laura,1,1135,17.6,16.6,10.6,6.9,6.8,9.3,21.0,5.1,2.5,3.8
30,48,02,11,050 06,1,30480211050 061,Jabbar Langha,,125,552,552,0,,Jabbar Langha,1,125,4.8,13.6,20.8,12.0,23.2,12.0,7.2,6.4,4.4,Jabbar Langha,1,552,14.9,16.1,9.6,7.1,9.6,8.5,20.3,6.3,3.3,4.3
30,48,02,11,050 07,1,30480211050 071,Chikna Kandi,,48,194,194,0,,Chikna Kandi,1,48,8.3,22.9,10.4,10.4,20.8,16.7,10.4,0.0,4.0,Chikna Kandi,1,194,17.0,19.1,9.8,5.7,9.3,7.7,16.5,4.6,4.1,6.2
30,48,02,11,252,1,304802112521,*Bhatura,,505,2226,2226,0,,*Bhatura,1,505,1.0,10.5,19.6,24.4,21.8,11.3,6.7,4.8,4.4,*Bhatura,1,2226,11.4,13.8,12.9,7.8,6.5,9.0,24.7,5.3,3.0,5.7
30,48,02,11,252 01,1,30480211252 011,Bhatura,,193,827,827,0,,Bhatura,1,193,2.1,13.5,19.7,20.7,21.8,11.9,6.2,4.1,4.3,Bhatura,1,827,10.0,10.2,13.4,7.3,6.7,9.3,26.8,7.4,4.4,4.6
30,48,02,11,252 02,1,30480211252 021,Isapur,,256,1151,1151,0,,Isapur,1,256,0.0,8.2,18.8,27.7,23.0,10.9,6.6,4.7,4.5,Isapur,1,1151,10.5,15.8,13.6,8.0,6.3,8.7,24.8,4.1,2.3,5.8
30,48,02,11,252 03,1,30480211252 031,Sitarampur,,56,248,248,0,,Sitarampur,1,56,1.8,10.7,23.2,21.4,16.1,10.7,8.9,7.1,4.4,Sitarampur,1,248,19.8,16.5,8.1,8.5,6.9,9.3,16.9,4.0,1.6,8.5
30,48,02,11,387,1,304802113871,*Chaudanta Basti,,652,2988,2988,0,,*Chaudanta Basti,1,652,4.4,10.6,16.1,20.2,19.5,14.6,8.4,6.1,4.6,*Chaudanta Basti,1,2988,14.5,14.2,11.8,8.0,7.5,6.4,21.3,6.9,3.5,6.0
30,48,02,11,387 01,1,30480211387 011,Chaudanta,,371,1844,1844,0,,Chaudanta,1,371,1.6,9.7,12.1,21.3,21.0,15.9,9.7,8.6,5.0,Chaudanta,1,1844,14.2,13.4,10.5,6.8,7.6,6.1,22.3,7.3,4.2,7.5
30,48,02,11,387 02,1,30480211387 021,Islam Pur,,281,1144,1144,0,,Islam Pur,1,281,8.2,11.7,21.4,18.9,17.4,12.8,6.8,2.8,4.1,Islam Pur,1,1144,14.9,15.4,14.0,9.9,7.2,6.8,19.7,6.4,2.4,3.4
30,48,02,11,522,1,304802115221,*Kairail,,393,2318,2318,0,,*Kairail,1,392,0.0,3.1,9.9,14.5,18.6,19.1,13.3,21.4,5.9,*Kairail,1,2318,17.5,18.1,9.4,6.4,8.1,7.2,20.3,5.7,3.2,4.0
30,48,02,11,775,1,304802117751,*Matiakhola,,39,189,189,0,,*Matiakhola,1,39,0.0,7.7,20.5,25.6,10.3,17.9,2.6,15.4,4.8,*Matiakhola,1,189,14.8,9.0,11.6,12.7,12.2,5.8,24.3,4.2,0.5,4.8
30,48,02,23,,,30480223,Austagram Union Total,8791,4581,20384,20309,75,573,Austagram Union Total,,4553,6.0,11.4,16.4,20.1,19.3,13.0,7.2,6.7,4.4,Austagram Union Total,,20384,13.3,14.7,11.8,7.5,7.2,8.1,22.9,6.0,3.1,5.4
30,48,02,23,,1,304802231,Austagram Union,,632,2984,2984,0,,Austagram Union,1,632,3.5,8.1,14.2,22.2,21.4,15.5,7.4,7.8,4.7,Austagram Union,1,2984,14.2,16.1,12.3,7.8,6.3,8.0,22.0,4.7,2.6,6.0
30,48,02,23,,3,304802233,Austagram Union,,3949,17400,17325,75,,Austagram Union,3,3921,6.4,11.9,16.8,19.8,18.9,12.5,7.2,6.5,4.4,Austagram Union,3,17400,13.1,14.5,11.7,7.4,7.4,8.2,23.1,6.2,3.1,5.3
30,48,02,23,067,3,304802230673,*Austagram Sadar,,3949,17400,17325,75,,*Austagram Sadar,3,3921,6.4,11.9,16.8,19.8,18.9,12.5,7.2,6.5,4.4,*Austagram Sadar,3,17400,13.1,14.5,11.7,7.4,7.4,8.2,23.1,6.2,3.1,5.3
30,48,02,23,084,1,304802230841,*Asia (Part),,358,1675,1675,0,,*Asia (Part),1,358,4.2,8.1,13.7,21.8,21.2,17.0,6.1,7.8,4.7,*Asia (Part),1,1675,14.3,15.8,13.0,8.5,5.8,8.2,21.0,5.0,2.5,6.0
30,48,02,23,185,1,304802231851,*Barai Char,,157,743,743,0,,*Barai Char,1,157,2.5,7.0,17.2,22.3,21.0,14.6,8.9,6.4,4.7,*Barai Char,1,743,14.3,17.2,10.0,6.1,7.7,7.9,24.6,4.3,2.8,5.1
30,48,02,23,438,1,304802234381,*Doai Bhatera,,117,566,566,0,,*Doai Bhatera,1,117,2.6,9.4,12.0,23.1,22.2,12.0,9.4,9.4,4.8,*Doai Bhatera,1,566,14.0,15.4,13.3,8.0,6.2,7.2,21.6,4.6,2.8,7.1
30,48,02,35,,,30480235,Bangal Para Union Total,6559,3115,15974,15919,55,602,Bangal Para Union Total,,3106,1.8,7.9,13.3,18.5,19.7,15.8,10.0,12.9,5.1,Bangal Para Union Total,,15974,15.0,15.9,11.4,8.1,7.3,8.2,21.4,5.5,2.4,4.9
30,48,02,35,101,1,304802351011,*Bagaia,,108,636,636,0,,*Bagaia,1,108,0.0,9.3,5.6,13.9,16.7,18.5,11.1,25.0,5.9,*Bagaia,1,636,18.4,17.6,12.6,9.0,7.7,5.2,21.1,3.1,1.4,3.9
30,48,02,35,151,1,304802351511,*Bangal Para,,1092,5549,5549,0,,*Bangal Para,1,1091,2.5,7.0,15.2,18.9,18.2,14.7,10.5,13.0,5.1,*Bangal Para,1,5549,15.3,14.1,11.1,7.4,7.4,8.7,23.1,5.8,2.3,4.8
30,48,02,35,151 01,1,30480235151 011,Bangal Para,,387,1769,1769,0,,Bangal Para,1,387,3.1,7.8,19.6,22.2,19.9,11.9,7.8,7.8,4.6,Bangal Para,1,1769,10.5,12.9,11.8,8.5,6.4,8.8,25.7,6.6,2.8,6.0
30,48,02,35,151 02,1,30480235151 021,Rathani,,418,2126,2126,0,,Rathani,1,417,3.4,7.0,13.2,16.1,20.6,16.1,11.0,12.7,5.1,Rathani,1,2126,18.5,14.8,11.0,6.8,6.8,6.8,23.6,5.7,1.9,4.1
30,48,02,35,151 03,1,30480235151 031,Anwarpur,,287,1654,1654,0,,Anwarpur,1,287,0.3,5.9,12.2,18.5,12.5,16.4,13.6,20.6,5.8,Anwarpur,1,1654,16.4,14.4,10.5,6.8,9.1,11.2,19.7,5.1,2.3,4.4
30,48,02,35,236,1,304802352361,*Bhatinagar,,275,1177,1177,0,,*Bhatinagar,1,275,0.4,12.4,17.8,26.9,24.4,10.9,5.1,2.2,4.3,*Bhatinagar,1,1177,9.7,12.3,12.7,9.1,9.2,9.3,24.0,5.9,2.1,5.9
30,48,02,35,320,1,304802353201,*Char Pratap,,52,266,266,0,,*Char Pratap,1,52,0.0,5.8,7.7,21.2,26.9,25.0,5.8,7.7,5.1,*Char Pratap,1,266,15.0,17.3,11.3,5.6,6.0,5.6,29.3,5.6,1.5,2.6
30,48,02,35,489,1,304802354891,*Haidarabad,,78,370,370,0,,*Haidarabad,1,78,0.0,9.0,15.4,21.8,24.4,16.7,5.1,7.7,4.7,*Haidarabad,1,370,8.1,11.6,12.2,11.1,4.6,8.1,30.5,6.2,2.7,4.9
30,48,02,35,742,1,304802357421,*Laura,,360,2217,2162,55,,*Laura,1,360,0.3,1.7,6.4,14.7,20.0,22.5,13.3,21.1,6.0,*Laura,1,2217,17.5,18.3,11.0,9.0,6.7,7.9,18.4,3.9,2.0,5.5
30,48,02,35,742 01,1,30480235742 011,Laura,,197,1298,1243,55,,Laura,1,197,0.0,1.5,4.1,10.2,21.8,24.4,14.7,23.4,6.3,Laura,1,1298,15.5,17.0,10.8,10.1,8.7,7.6,17.3,4.4,1.2,7.5
30,48,02,35,742 02,1,30480235742 021,Nazir Pur,,163,919,919,0,,Nazir Pur,1,163,0.6,1.8,9.2,20.2,17.8,20.2,11.7,18.4,5.6,Nazir Pur,1,919,20.2,20.0,11.2,7.4,3.8,8.4,19.9,3.2,3.2,2.7
30,48,02,35,826,1,304802358261,*Noagaon,,352,1902,1902,0,,*Noagaon,1,344,1.2,7.6,13.1,14.5,17.7,17.2,12.2,16.6,5.3,*Noagaon,1,1902,15.5,17.2,12.4,8.3,7.4,9.0,19.6,4.2,2.3,4.1
30,48,02,35,843,1,304802358431,*Osmanpur,,798,3857,3857,0,,*Osmanpur,1,798,3.0,10.5,13.4,18.8,20.3,14.5,9.0,10.4,4.8,*Osmanpur,1,3857,14.6,17.5,10.9,8.1,7.0,7.4,19.5,6.8,3.1,5.1
30,48,02,35,843 01,1,30480235843 011,Osmanpur,,424,2138,2138,0,,Osmanpur,1,424,2.1,9.4,11.8,17.2,22.6,14.6,10.4,11.8,5.0,Osmanpur,1,2138,14.7,16.6,12.0,8.2,6.8,7.2,20.7,6.3,2.5,5.0
