,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,0,0,0,0.0,0.0,0.0
2/1/2020,0,0,0,0.0,0.0,0.0
2/2/2020,0,0,0,0.0,0.0,0.0
2/3/2020,0,0,0,0.0,0.0,0.0
2/4/2020,0,0,0,0.0,0.0,0.0
2/5/2020,0,0,0,0.0,0.0,0.0
2/6/2020,0,0,0,0.0,0.0,0.0
2/7/2020,0,0,0,0.0,0.0,0.0
2/8/2020,0,0,0,0.0,0.0,0.0
2/9/2020,0,0,0,0.0,0.0,0.0
2/10/2020,0,0,0,0.0,0.0,0.0
2/11/2020,0,0,0,0.0,0.0,0.0
2/12/2020,0,0,0,0.0,0.0,0.0
2/13/2020,0,0,0,0.0,0.0,0.0
2/14/2020,0,0,0,0.0,0.0,0.0
2/15/2020,0,0,0,0.0,0.0,0.0
2/16/2020,0,0,0,0.0,0.0,0.0
2/17/2020,0,0,0,0.0,0.0,0.0
2/18/2020,0,0,0,0.0,0.0,0.0
2/19/2020,0,0,0,0.0,0.0,0.0
2/20/2020,0,0,0,0.0,0.0,0.0
2/21/2020,0,0,0,0.0,0.0,0.0
2/22/2020,0,0,0,0.0,0.0,0.0
2/23/2020,0,0,0,0.0,0.0,0.0
2/24/2020,0,0,0,0.0,0.0,0.0
2/25/2020,0,0,0,0.0,0.0,0.0
2/26/2020,2,0,0,2.0,0.0,0.0
2/27/2020,2,0,0,0.0,0.0,0.0
2/28/2020,2,0,0,0.0,0.0,0.0
2/29/2020,4,0,0,2.0,0.0,0.0
3/1/2020,4,0,0,0.0,0.0,0.0
3/2/2020,4,0,0,0.0,0.0,0.0
3/3/2020,5,0,0,1.0,0.0,0.0
3/4/2020,5,0,0,0.0,0.0,0.0
3/5/2020,5,0,0,0.0,0.0,0.0
3/6/2020,6,0,0,1.0,0.0,0.0
3/7/2020,6,0,0,0.0,0.0,0.0
3/8/2020,6,0,1,0.0,0.0,1.0
3/9/2020,6,0,1,0.0,0.0,0.0
3/10/2020,16,0,1,10.0,0.0,0.0
3/11/2020,19,0,2,3.0,0.0,1.0
3/12/2020,20,0,2,1.0,0.0,0.0
3/13/2020,28,0,2,8.0,0.0,0.0
3/14/2020,31,0,2,3.0,0.0,0.0
3/15/2020,53,0,2,22.0,0.0,0.0
3/16/2020,136,0,2,83.0,0.0,0.0
3/17/2020,236,0,2,100.0,0.0,0.0
3/18/2020,299,0,2,63.0,0.0,0.0
3/19/2020,454,2,13,155.0,2.0,11.0
3/20/2020,501,3,13,47.0,1.0,0.0
3/21/2020,730,3,13,229.0,0.0,0.0
3/22/2020,776,5,5,46.0,2.0,-8.0
3/23/2020,875,6,13,99.0,1.0,8.0
3/24/2020,972,7,18,97.0,1.0,5.0
3/25/2020,1063,8,21,91.0,1.0,3.0
3/26/2020,1201,9,21,138.0,1.0,0.0
3/27/2020,1373,11,23,172.0,2.0,2.0
3/28/2020,1495,12,29,122.0,1.0,6.0
3/29/2020,1597,14,29,102.0,2.0,0.0
3/30/2020,1717,21,76,120.0,7.0,47.0
3/31/2020,1938,26,76,221.0,5.0,0.0
4/1/2020,2118,27,94,180.0,1.0,18.0
4/2/2020,2421,34,125,303.0,7.0,31.0
4/3/2020,2686,40,126,265.0,6.0,1.0
4/4/2020,2818,41,131,132.0,1.0,5.0
4/5/2020,3157,47,211,339.0,6.0,80.0
4/6/2020,3766,53,259,609.0,6.0,48.0
