,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,0,0,0,0.0,0.0,0.0
2/1/2020,0,0,0,0.0,0.0,0.0
2/2/2020,0,0,0,0.0,0.0,0.0
2/3/2020,0,0,0,0.0,0.0,0.0
2/4/2020,0,0,0,0.0,0.0,0.0
2/5/2020,0,0,0,0.0,0.0,0.0
2/6/2020,0,0,0,0.0,0.0,0.0
2/7/2020,0,0,0,0.0,0.0,0.0
2/8/2020,0,0,0,0.0,0.0,0.0
2/9/2020,0,0,0,0.0,0.0,0.0
2/10/2020,0,0,0,0.0,0.0,0.0
2/11/2020,0,0,0,0.0,0.0,0.0
2/12/2020,0,0,0,0.0,0.0,0.0
2/13/2020,0,0,0,0.0,0.0,0.0
2/14/2020,0,0,0,0.0,0.0,0.0
2/15/2020,0,0,0,0.0,0.0,0.0
2/16/2020,0,0,0,0.0,0.0,0.0
2/17/2020,0,0,0,0.0,0.0,0.0
2/18/2020,0,0,0,0.0,0.0,0.0
2/19/2020,0,0,0,0.0,0.0,0.0
2/20/2020,0,0,0,0.0,0.0,0.0
2/21/2020,0,0,0,0.0,0.0,0.0
2/22/2020,0,0,0,0.0,0.0,0.0
2/23/2020,0,0,0,0.0,0.0,0.0
2/24/2020,0,0,0,0.0,0.0,0.0
2/25/2020,0,0,0,0.0,0.0,0.0
2/26/2020,0,0,0,0.0,0.0,0.0
2/27/2020,0,0,0,0.0,0.0,0.0
2/28/2020,0,0,0,0.0,0.0,0.0
2/29/2020,0,0,0,0.0,0.0,0.0
3/1/2020,0,0,0,0.0,0.0,0.0
3/2/2020,0,0,0,0.0,0.0,0.0
3/3/2020,0,0,0,0.0,0.0,0.0
3/4/2020,0,0,0,0.0,0.0,0.0
3/5/2020,0,0,0,0.0,0.0,0.0
3/6/2020,0,0,0,0.0,0.0,0.0
3/7/2020,0,0,0,0.0,0.0,0.0
3/8/2020,0,0,0,0.0,0.0,0.0
3/9/2020,0,0,0,0.0,0.0,0.0
3/10/2020,0,0,0,0.0,0.0,0.0
3/11/2020,1,0,0,1.0,0.0,0.0
3/12/2020,1,0,0,0.0,0.0,0.0
3/13/2020,5,0,0,4.0,0.0,0.0
3/14/2020,5,0,0,0.0,0.0,0.0
3/15/2020,6,0,0,1.0,0.0,0.0
3/16/2020,18,0,0,12.0,0.0,0.0
3/17/2020,47,1,0,29.0,1.0,0.0
3/18/2020,98,1,0,51.0,0.0,0.0
3/19/2020,192,3,0,94.0,2.0,0.0
3/20/2020,359,4,0,167.0,1.0,0.0
3/21/2020,670,9,0,311.0,5.0,0.0
3/22/2020,1236,30,0,566.0,21.0,0.0
3/23/2020,1529,37,0,293.0,7.0,0.0
3/24/2020,1872,44,0,343.0,7.0,0.0
3/25/2020,2433,59,26,561.0,15.0,26.0
3/26/2020,3629,75,26,1196.0,16.0,0.0
3/27/2020,5698,92,42,2069.0,17.0,16.0
3/28/2020,7402,108,70,1704.0,16.0,28.0
3/29/2020,9217,131,105,1815.0,23.0,35.0
3/30/2020,10827,168,162,1610.0,37.0,57.0
3/31/2020,13531,214,243,2704.0,46.0,81.0
4/1/2020,15679,277,333,2148.0,63.0,90.0
4/2/2020,18135,356,415,2456.0,79.0,82.0
4/3/2020,20921,425,484,2786.0,69.0,69.0
4/4/2020,23934,501,786,3013.0,76.0,302.0
4/5/2020,27069,574,1042,3135.0,73.0,256.0
