,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,0,0,0,0.0,0.0,0.0
2/1/2020,0,0,0,0.0,0.0,0.0
2/2/2020,0,0,0,0.0,0.0,0.0
2/3/2020,0,0,0,0.0,0.0,0.0
2/4/2020,0,0,0,0.0,0.0,0.0
2/5/2020,0,0,0,0.0,0.0,0.0
2/6/2020,0,0,0,0.0,0.0,0.0
2/7/2020,0,0,0,0.0,0.0,0.0
2/8/2020,0,0,0,0.0,0.0,0.0
2/9/2020,0,0,0,0.0,0.0,0.0
2/10/2020,0,0,0,0.0,0.0,0.0
2/11/2020,0,0,0,0.0,0.0,0.0
2/12/2020,0,0,0,0.0,0.0,0.0
2/13/2020,0,0,0,0.0,0.0,0.0
2/14/2020,0,0,0,0.0,0.0,0.0
2/15/2020,0,0,0,0.0,0.0,0.0
2/16/2020,0,0,0,0.0,0.0,0.0
2/17/2020,0,0,0,0.0,0.0,0.0
2/18/2020,0,0,0,0.0,0.0,0.0
2/19/2020,0,0,0,0.0,0.0,0.0
2/20/2020,0,0,0,0.0,0.0,0.0
2/21/2020,0,0,0,0.0,0.0,0.0
2/22/2020,0,0,0,0.0,0.0,0.0
2/23/2020,0,0,0,0.0,0.0,0.0
2/24/2020,0,0,0,0.0,0.0,0.0
2/25/2020,0,0,0,0.0,0.0,0.0
2/26/2020,0,0,0,0.0,0.0,0.0
2/27/2020,0,0,0,0.0,0.0,0.0
2/28/2020,0,0,0,0.0,0.0,0.0
2/29/2020,0,0,0,0.0,0.0,0.0
3/1/2020,0,0,0,0.0,0.0,0.0
3/2/2020,0,0,0,0.0,0.0,0.0
3/3/2020,0,0,0,0.0,0.0,0.0
3/4/2020,0,0,0,0.0,0.0,0.0
3/5/2020,0,0,0,0.0,0.0,0.0
3/6/2020,0,0,0,0.0,0.0,0.0
3/7/2020,0,0,0,0.0,0.0,0.0
3/8/2020,0,0,0,0.0,0.0,0.0
3/9/2020,0,0,0,0.0,0.0,0.0
3/10/2020,144,2,2,144.0,2.0,2.0
3/11/2020,177,3,2,33.0,1.0,0.0
3/12/2020,221,4,6,44.0,1.0,4.0
3/13/2020,282,4,6,61.0,0.0,0.0
3/14/2020,340,5,6,58.0,1.0,0.0
3/15/2020,426,6,6,86.0,1.0,0.0
3/16/2020,557,7,6,131.0,1.0,0.0
3/17/2020,698,12,6,141.0,5.0,0.0
3/18/2020,751,13,0,53.0,1.0,-6.0
3/19/2020,952,18,0,201.0,5.0,0.0
3/20/2020,1177,23,0,225.0,5.0,0.0
3/21/2020,1364,24,0,187.0,1.0,0.0
3/22/2020,1642,30,0,278.0,6.0,0.0
3/23/2020,2108,39,0,466.0,9.0,0.0
3/24/2020,2538,50,0,430.0,11.0,0.0
3/25/2020,2998,65,0,460.0,15.0,0.0
3/26/2020,3899,81,0,901.0,16.0,0.0
3/27/2020,4657,94,0,758.0,13.0,0.0
3/28/2020,5095,110,0,438.0,16.0,0.0
3/29/2020,5852,124,0,757.0,14.0,0.0
3/30/2020,7138,146,0,1286.0,22.0,0.0
