,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,1,0,0,,,
1/23/2020,1,0,0,0.0,0.0,0.0
1/24/2020,2,0,0,1.0,0.0,0.0
1/25/2020,2,0,0,0.0,0.0,0.0
1/26/2020,3,0,0,1.0,0.0,0.0
1/27/2020,4,0,0,1.0,0.0,0.0
1/28/2020,4,0,0,0.0,0.0,0.0
1/29/2020,4,0,0,0.0,0.0,0.0
1/30/2020,4,0,0,0.0,0.0,0.0
1/31/2020,11,0,0,7.0,0.0,0.0
2/1/2020,12,0,0,1.0,0.0,0.0
2/2/2020,15,0,0,3.0,0.0,0.0
2/3/2020,15,0,0,0.0,0.0,0.0
2/4/2020,16,0,0,1.0,0.0,0.0
2/5/2020,19,0,0,3.0,0.0,0.0
2/6/2020,23,0,0,4.0,0.0,0.0
2/7/2020,24,0,1,1.0,0.0,1.0
2/8/2020,24,0,1,0.0,0.0,0.0
2/9/2020,25,0,3,1.0,0.0,2.0
2/10/2020,27,0,3,2.0,0.0,0.0
2/11/2020,28,0,3,1.0,0.0,0.0
2/12/2020,28,0,7,0.0,0.0,4.0
2/13/2020,28,0,7,0.0,0.0,0.0
2/14/2020,28,0,7,0.0,0.0,0.0
2/15/2020,28,0,9,0.0,0.0,2.0
2/16/2020,29,0,9,1.0,0.0,0.0
2/17/2020,30,0,10,1.0,0.0,1.0
2/18/2020,31,0,12,1.0,0.0,2.0
2/19/2020,31,0,12,0.0,0.0,0.0
2/20/2020,104,1,16,73.0,1.0,4.0
2/21/2020,204,2,16,100.0,1.0,0.0
2/22/2020,433,2,16,229.0,0.0,0.0
2/23/2020,602,6,18,169.0,4.0,2.0
2/24/2020,833,8,18,231.0,2.0,0.0
2/25/2020,977,10,22,144.0,2.0,4.0
2/26/2020,1261,12,22,284.0,2.0,0.0
2/27/2020,1766,13,22,505.0,1.0,0.0
2/28/2020,2337,13,22,571.0,0.0,0.0
2/29/2020,3150,16,27,813.0,3.0,5.0
3/1/2020,3736,17,30,586.0,1.0,3.0
3/2/2020,4335,28,30,599.0,11.0,0.0
3/3/2020,5186,28,30,851.0,0.0,0.0
3/4/2020,5621,35,41,435.0,7.0,11.0
3/5/2020,6088,35,41,467.0,0.0,0.0
3/6/2020,6593,42,135,505.0,7.0,94.0
3/7/2020,7041,44,135,448.0,2.0,0.0
3/8/2020,7314,50,118,273.0,6.0,-17.0
3/9/2020,7478,53,118,164.0,3.0,0.0
3/10/2020,7513,54,247,35.0,1.0,129.0
3/11/2020,7755,60,288,242.0,6.0,41.0
3/12/2020,7869,66,333,114.0,6.0,45.0
3/13/2020,7979,66,510,110.0,0.0,177.0
3/14/2020,8086,72,510,107.0,6.0,0.0
3/15/2020,8162,75,510,76.0,3.0,0.0
3/16/2020,8236,75,1137,74.0,0.0,627.0
3/17/2020,8320,81,1407,84.0,6.0,270.0
3/18/2020,8413,84,1540,93.0,3.0,133.0
3/19/2020,8565,91,1540,152.0,7.0,0.0
3/20/2020,8652,94,1540,87.0,3.0,0.0
3/21/2020,8799,102,1540,147.0,8.0,0.0
3/22/2020,8897,104,2909,98.0,2.0,1369.0
3/23/2020,8961,111,3166,64.0,7.0,257.0
3/24/2020,9037,120,3507,76.0,9.0,341.0
3/25/2020,9137,126,3730,100.0,6.0,223.0
3/26/2020,9241,131,4144,104.0,5.0,414.0
3/27/2020,9332,139,4528,91.0,8.0,384.0
3/28/2020,9478,144,4811,146.0,5.0,283.0
3/29/2020,9583,152,5033,105.0,8.0,222.0
3/30/2020,9661,158,5228,78.0,6.0,195.0
