,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,0,0,0,,,
1/23/2020,0,0,0,0.0,0.0,0.0
1/24/2020,0,0,0,0.0,0.0,0.0
1/25/2020,0,0,0,0.0,0.0,0.0
1/26/2020,0,0,0,0.0,0.0,0.0
1/27/2020,0,0,0,0.0,0.0,0.0
1/28/2020,0,0,0,0.0,0.0,0.0
1/29/2020,0,0,0,0.0,0.0,0.0
1/30/2020,0,0,0,0.0,0.0,0.0
1/31/2020,0,0,0,0.0,0.0,0.0
2/1/2020,0,0,0,0.0,0.0,0.0
2/2/2020,0,0,0,0.0,0.0,0.0
2/3/2020,0,0,0,0.0,0.0,0.0
2/4/2020,0,0,0,0.0,0.0,0.0
2/5/2020,0,0,0,0.0,0.0,0.0
2/6/2020,0,0,0,0.0,0.0,0.0
2/7/2020,0,0,0,0.0,0.0,0.0
2/8/2020,0,0,0,0.0,0.0,0.0
2/9/2020,0,0,0,0.0,0.0,0.0
2/10/2020,0,0,0,0.0,0.0,0.0
2/11/2020,0,0,0,0.0,0.0,0.0
2/12/2020,0,0,0,0.0,0.0,0.0
2/13/2020,0,0,0,0.0,0.0,0.0
2/14/2020,0,0,0,0.0,0.0,0.0
2/15/2020,0,0,0,0.0,0.0,0.0
2/16/2020,0,0,0,0.0,0.0,0.0
2/17/2020,0,0,0,0.0,0.0,0.0
2/18/2020,0,0,0,0.0,0.0,0.0
2/19/2020,0,0,0,0.0,0.0,0.0
2/20/2020,0,0,0,0.0,0.0,0.0
2/21/2020,0,0,0,0.0,0.0,0.0
2/22/2020,0,0,0,0.0,0.0,0.0
2/23/2020,0,0,0,0.0,0.0,0.0
2/24/2020,0,0,0,0.0,0.0,0.0
2/25/2020,0,0,0,0.0,0.0,0.0
2/26/2020,2,0,0,2.0,0.0,0.0
2/27/2020,2,0,0,0.0,0.0,0.0
2/28/2020,2,0,0,0.0,0.0,0.0
2/29/2020,4,0,0,2.0,0.0,0.0
3/1/2020,4,0,0,0.0,0.0,0.0
3/2/2020,4,0,0,0.0,0.0,0.0
3/3/2020,5,0,0,1.0,0.0,0.0
3/4/2020,5,0,0,0.0,0.0,0.0
3/5/2020,5,0,0,0.0,0.0,0.0
3/6/2020,6,0,0,1.0,0.0,0.0
3/7/2020,6,0,0,0.0,0.0,0.0
3/8/2020,6,0,1,0.0,0.0,1.0
3/9/2020,6,0,1,0.0,0.0,0.0
3/10/2020,16,0,1,10.0,0.0,0.0
3/11/2020,19,0,2,3.0,0.0,1.0
3/12/2020,20,0,2,1.0,0.0,0.0
3/13/2020,28,0,2,8.0,0.0,0.0
3/14/2020,31,0,2,3.0,0.0,0.0
3/15/2020,53,0,2,22.0,0.0,0.0
3/16/2020,136,0,2,83.0,0.0,0.0
3/17/2020,236,0,2,100.0,0.0,0.0
3/18/2020,299,0,2,63.0,0.0,0.0
3/19/2020,454,2,13,155.0,2.0,11.0
3/20/2020,501,3,13,47.0,1.0,0.0
3/21/2020,730,3,13,229.0,0.0,0.0
3/22/2020,776,5,5,46.0,2.0,-8.0
3/23/2020,875,6,13,99.0,1.0,8.0
3/24/2020,972,7,18,97.0,1.0,5.0
3/25/2020,1063,8,21,91.0,1.0,3.0
3/26/2020,1201,9,21,138.0,1.0,0.0
3/27/2020,1373,11,23,172.0,2.0,2.0
3/28/2020,1495,12,29,122.0,1.0,6.0
3/29/2020,1597,14,29,102.0,2.0,0.0
3/30/2020,1717,21,76,120.0,7.0,47.0
3/31/2020,1938,26,76,221.0,5.0,0.0
4/1/2020,2118,27,94,180.0,1.0,18.0
4/2/2020,2421,34,125,303.0,7.0,31.0
4/3/2020,2686,40,126,265.0,6.0,1.0
4/4/2020,2818,41,131,132.0,1.0,5.0
4/5/2020,3157,47,211,339.0,6.0,80.0
4/6/2020,3766,53,259,609.0,6.0,48.0
4/7/2020,4035,57,429,269.0,4.0,170.0
4/8/2020,4263,61,467,228.0,4.0,38.0
4/9/2020,4489,65,572,226.0,4.0,105.0
4/10/2020,4695,66,727,206.0,1.0,155.0
4/11/2020,5011,86,762,316.0,20.0,35.0
4/12/2020,5230,91,1028,219.0,5.0,266.0
4/13/2020,5496,93,1095,266.0,2.0,67.0
4/14/2020,5837,96,1378,341.0,3.0,283.0
4/15/2020,6383,111,1446,546.0,15.0,68.0
4/16/2020,6919,128,1645,536.0,17.0,199.0
4/17/2020,7025,135,1765,106.0,7.0,120.0
4/18/2020,7638,143,1832,613.0,8.0,67.0
4/19/2020,8348,168,1868,710.0,25.0,36.0
4/20/2020,8418,176,1970,70.0,8.0,102.0
4/21/2020,9565,201,2073,1147.0,25.0,103.0
4/22/2020,10076,212,2156,511.0,11.0,83.0
4/23/2020,11155,237,2527,1079.0,25.0,371.0
4/24/2020,11940,253,2755,785.0,16.0,228.0
4/25/2020,12723,269,2866,783.0,16.0,111.0
4/26/2020,13328,281,2936,605.0,12.0,70.0
4/27/2020,13915,292,3029,587.0,11.0,93.0
