,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/2020,444,17,28,,,
1/23/2020,444,17,28,0.0,0.0,0.0
1/24/2020,549,24,31,105.0,7.0,3.0
1/25/2020,761,40,32,212.0,16.0,1.0
1/26/2020,1058,52,42,297.0,12.0,10.0
1/27/2020,1423,76,45,365.0,24.0,3.0
1/28/2020,3554,125,80,2131.0,49.0,35.0
1/29/2020,3554,125,88,0.0,0.0,8.0
1/30/2020,4903,162,90,1349.0,37.0,2.0
1/31/2020,5806,204,141,903.0,42.0,51.0
2/1/2020,7153,249,168,1347.0,45.0,27.0
2/2/2020,11177,350,295,4024.0,101.0,127.0
2/3/2020,13522,414,386,2345.0,64.0,91.0
2/4/2020,16678,479,522,3156.0,65.0,136.0
2/5/2020,19665,549,633,2987.0,70.0,111.0
2/6/2020,22112,618,817,2447.0,69.0,184.0
2/7/2020,24953,699,1115,2841.0,81.0,298.0
2/8/2020,27100,780,1439,2147.0,81.0,324.0
2/9/2020,29631,871,1795,2531.0,91.0,356.0
2/10/2020,31728,974,2222,2097.0,103.0,427.0
2/11/2020,33366,1068,2639,1638.0,94.0,417.0
2/12/2020,33366,1068,2686,0.0,0.0,47.0
2/13/2020,48206,1310,3459,14840.0,242.0,773.0
2/14/2020,54406,1457,4774,6200.0,147.0,1315.0
2/15/2020,56249,1596,5623,1843.0,139.0,849.0
2/16/2020,58182,1696,6639,1933.0,100.0,1016.0
2/17/2020,59989,1789,7862,1807.0,93.0,1223.0
2/18/2020,61682,1921,9128,1693.0,132.0,1266.0
2/19/2020,62031,2029,10337,349.0,108.0,1209.0
2/20/2020,62442,2144,11788,411.0,115.0,1451.0
2/21/2020,62662,2144,11881,220.0,0.0,93.0
2/22/2020,64084,2346,15299,1422.0,202.0,3418.0
2/23/2020,64084,2346,15343,0.0,0.0,44.0
2/24/2020,64287,2495,16748,203.0,149.0,1405.0
2/25/2020,64786,2563,18971,499.0,68.0,2223.0
2/26/2020,65187,2615,20969,401.0,52.0,1998.0
2/27/2020,65596,2641,23383,409.0,26.0,2414.0
2/28/2020,65914,2682,26403,318.0,41.0,3020.0
2/29/2020,66337,2727,28993,423.0,45.0,2590.0
3/1/2020,66907,2761,31536,570.0,34.0,2543.0
3/2/2020,67103,2803,33934,196.0,42.0,2398.0
3/3/2020,67217,2835,36208,114.0,32.0,2274.0
3/4/2020,67332,2871,38557,115.0,36.0,2349.0
3/5/2020,67466,2902,40592,134.0,31.0,2035.0
3/6/2020,67592,2931,42033,126.0,29.0,1441.0
3/7/2020,67666,2959,43500,74.0,28.0,1467.0
3/8/2020,67707,2986,45235,41.0,27.0,1735.0
3/9/2020,67743,3008,46488,36.0,22.0,1253.0
3/10/2020,67760,3024,47743,17.0,16.0,1255.0
3/11/2020,67773,3046,49134,13.0,22.0,1391.0
3/12/2020,67781,3056,50318,8.0,10.0,1184.0
3/13/2020,67786,3062,51553,5.0,6.0,1235.0
3/14/2020,67790,3075,52960,4.0,13.0,1407.0
3/15/2020,67794,3085,54288,4.0,10.0,1328.0
3/16/2020,67798,3099,55142,4.0,14.0,854.0
3/17/2020,67799,3111,56003,1.0,12.0,861.0
3/18/2020,67800,3122,56927,1.0,11.0,924.0
3/19/2020,67800,3130,57682,0.0,8.0,755.0
3/20/2020,67800,3133,58382,0.0,3.0,700.0
3/21/2020,67800,3139,58946,0.0,6.0,564.0
3/22/2020,67800,3144,59433,0.0,5.0,487.0
3/23/2020,67800,3153,59882,0.0,9.0,449.0
3/24/2020,67801,3160,60324,1.0,7.0,442.0
3/25/2020,67801,3163,60811,0.0,3.0,487.0
3/26/2020,67801,3169,61201,0.0,6.0,390.0
3/27/2020,67801,3174,61732,0.0,5.0,531.0
3/28/2020,67801,3177,62098,0.0,3.0,366.0
3/29/2020,67801,3182,62570,0.0,5.0,472.0
3/30/2020,67801,3186,62889,0.0,4.0,319.0
3/31/2020,67801,3187,63153,0.0,1.0,264.0
4/1/2020,67802,3193,63326,1.0,6.0,173.0
4/2/2020,67802,3199,63471,0.0,6.0,145.0
4/3/2020,67802,3203,63612,0.0,4.0,141.0
4/4/2020,67803,3207,63762,1.0,4.0,150.0
4/5/2020,67803,3210,63945,0.0,3.0,183.0
4/6/2020,67803,3212,64014,0.0,2.0,69.0
4/7/2020,67803,3212,64073,0.0,0.0,59.0
4/8/2020,67803,3213,64142,0.0,1.0,69.0
4/9/2020,67803,3215,64187,0.0,2.0,45.0
4/10/2020,67803,3216,64236,0.0,1.0,49.0
4/11/2020,67803,3219,64264,0.0,3.0,28.0
4/12/2020,67803,3219,64281,0.0,0.0,17.0
4/13/2020,67803,3221,64338,0.0,2.0,57.0
4/14/2020,67803,3221,64363,0.0,0.0,25.0
4/15/2020,67803,3222,64402,0.0,1.0,39.0
4/16/2020,67803,3222,64435,0.0,0.0,33.0
4/17/2020,68128,4512,63487,325.0,1290.0,-948.0
4/18/2020,68128,4512,63494,0.0,0.0,7.0
4/19/2020,68128,4512,63507,0.0,0.0,13.0
4/20/2020,68128,4512,63511,0.0,0.0,4.0
4/21/2020,68128,4512,63514,0.0,0.0,3.0
