,num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
1/22/20,444.0,17.0,28.0,,,
1/23/20,444.0,17.0,28.0,0.0,0.0,0.0
1/24/20,549.0,24.0,31.0,105.0,7.0,3.0
1/25/20,761.0,40.0,32.0,212.0,16.0,1.0
1/26/20,1058.0,52.0,42.0,297.0,12.0,10.0
1/27/20,1423.0,76.0,45.0,365.0,24.0,3.0
1/28/20,3554.0,125.0,80.0,2131.0,49.0,35.0
1/29/20,3554.0,125.0,88.0,0.0,0.0,8.0
1/30/20,4903.0,162.0,90.0,1349.0,37.0,2.0
1/31/20,5806.0,204.0,141.0,903.0,42.0,51.0
2/1/20,7153.0,249.0,168.0,1347.0,45.0,27.0
2/2/20,11177.0,350.0,295.0,4024.0,101.0,127.0
2/3/20,13522.0,414.0,386.0,2345.0,64.0,91.0
2/4/20,16678.0,479.0,522.0,3156.0,65.0,136.0
2/5/20,19665.0,549.0,633.0,2987.0,70.0,111.0
2/6/20,22112.0,618.0,817.0,2447.0,69.0,184.0
2/7/20,24953.0,699.0,1115.0,2841.0,81.0,298.0
2/8/20,27100.0,780.0,1439.0,2147.0,81.0,324.0
2/9/20,29631.0,871.0,1795.0,2531.0,91.0,356.0
2/10/20,31728.0,974.0,2222.0,2097.0,103.0,427.0
2/11/20,33366.0,1068.0,2639.0,1638.0,94.0,417.0
2/12/20,33366.0,1068.0,2686.0,0.0,0.0,47.0
2/13/20,48206.0,1310.0,3459.0,14840.0,242.0,773.0
2/14/20,54406.0,1457.0,4774.0,6200.0,147.0,1315.0
2/15/20,56249.0,1596.0,5623.0,1843.0,139.0,849.0
2/16/20,58182.0,1696.0,6639.0,1933.0,100.0,1016.0
2/17/20,59989.0,1789.0,7862.0,1807.0,93.0,1223.0
2/18/20,61682.0,1921.0,9128.0,1693.0,132.0,1266.0
2/19/20,62031.0,2029.0,10337.0,349.0,108.0,1209.0
2/20/20,62442.0,2144.0,11788.0,411.0,115.0,1451.0
2/21/20,62662.0,2144.0,11881.0,220.0,0.0,93.0
2/22/20,64084.0,2346.0,15299.0,1422.0,202.0,3418.0
2/23/20,64084.0,2346.0,15343.0,0.0,0.0,44.0
2/24/20,64287.0,2495.0,16748.0,203.0,149.0,1405.0
2/25/20,64786.0,2563.0,18971.0,499.0,68.0,2223.0
2/26/20,65187.0,2615.0,20969.0,401.0,52.0,1998.0
2/27/20,65596.0,2641.0,23383.0,409.0,26.0,2414.0
2/28/20,65914.0,2682.0,26403.0,318.0,41.0,3020.0
2/29/20,66337.0,2727.0,28993.0,423.0,45.0,2590.0
3/1/20,66907.0,2761.0,31536.0,570.0,34.0,2543.0
3/2/20,67103.0,2803.0,33934.0,196.0,42.0,2398.0
3/3/20,67217.0,2835.0,36208.0,114.0,32.0,2274.0
3/4/20,67332.0,2871.0,38557.0,115.0,36.0,2349.0
3/5/20,67466.0,2902.0,40592.0,134.0,31.0,2035.0
3/6/20,67592.0,2931.0,42033.0,126.0,29.0,1441.0
3/7/20,67666.0,2959.0,43500.0,74.0,28.0,1467.0
3/8/20,67707.0,2986.0,45235.0,41.0,27.0,1735.0
3/9/20,67743.0,3008.0,46488.0,36.0,22.0,1253.0
3/10/20,67760.0,3024.0,47743.0,17.0,16.0,1255.0
3/11/20,67773.0,3046.0,49134.0,13.0,22.0,1391.0
3/12/20,67781.0,3056.0,50318.0,8.0,10.0,1184.0
3/13/20,67786.0,3062.0,51553.0,5.0,6.0,1235.0
3/14/20,67790.0,3075.0,52960.0,4.0,13.0,1407.0
3/15/20,67794.0,3085.0,54288.0,4.0,10.0,1328.0
3/16/20,67798.0,3099.0,55142.0,4.0,14.0,854.0
3/17/20,67799.0,3111.0,56003.0,1.0,12.0,861.0
3/18/20,67800.0,3122.0,56927.0,1.0,11.0,924.0
3/19/20,67800.0,3130.0,57682.0,0.0,8.0,755.0
3/20/20,67800.0,3133.0,58382.0,0.0,3.0,700.0
3/21/20,67800.0,3139.0,58946.0,0.0,6.0,564.0
3/22/20,67800.0,3144.0,59433.0,0.0,5.0,487.0
3/23/20,67800.0,3153.0,59879.0,0.0,9.0,446.0
