date,ML,Low_90,High_90,Low_50,High_50
2020-04-07,3.5,1.73,5.0,2.75,4.09
2020-04-08,2.99,1.85,4.03,2.45,3.35
2020-04-09,2.77,1.87,3.5700000000000003,2.36,3.06
2020-04-10,2.6,1.85,3.27,2.31,2.89
2020-04-11,2.52,1.8800000000000001,3.11,2.21,2.72
2020-04-12,2.48,1.8900000000000001,2.99,2.23,2.68
2020-04-13,2.49,1.95,2.95,2.25,2.66
2020-04-14,2.42,1.94,2.85,2.17,2.5500000000000003
2020-04-15,2.31,1.85,2.7,2.1,2.45
2020-04-16,2.11,1.69,2.49,1.9100000000000001,2.24
2020-04-17,2.0,1.59,2.36,1.79,2.11
2020-04-18,1.8900000000000001,1.5,2.24,1.69,2.0
2020-04-19,1.81,1.41,2.13,1.61,1.9100000000000001
2020-04-20,1.68,1.3,2.0,1.5,1.79
2020-04-21,1.6,1.24,1.92,1.44,1.72
2020-04-22,1.42,1.06,1.73,1.23,1.51
2020-04-23,1.27,0.91,1.58,1.09,1.37
2020-04-24,1.16,0.8,1.47,0.97,1.25
2020-04-25,1.16,0.8,1.47,0.97,1.25
2020-04-26,1.26,0.92,1.58,1.07,1.35
2020-04-27,1.36,1.02,1.67,1.19,1.46
2020-04-28,1.41,1.06,1.7,1.27,1.53
2020-04-29,1.42,1.1,1.72,1.24,1.5
2020-04-30,1.35,1.03,1.6400000000000001,1.21,1.46
2020-05-01,1.28,0.9400000000000001,1.55,1.12,1.37
2020-05-02,1.28,0.96,1.56,1.12,1.37
2020-05-03,1.32,1.01,1.6,1.1500000000000001,1.4000000000000001
2020-05-04,1.35,1.04,1.62,1.2,1.44
2020-05-05,1.34,1.04,1.61,1.18,1.42
2020-05-06,1.31,0.99,1.56,1.18,1.41
