date,ML,Low_90,High_90,Low_50,High_50
2020-03-10,3.06,1.27,4.62,2.2800000000000002,3.66
2020-03-11,2.52,1.27,3.58,1.95,2.9
2020-03-12,2.15,1.1400000000000001,3.0100000000000002,1.68,2.45
2020-03-13,2.05,1.23,2.84,1.71,2.37
2020-03-14,1.97,1.18,2.64,1.61,2.21
2020-03-15,1.98,1.28,2.62,1.67,2.22
2020-03-16,2.06,1.3900000000000001,2.64,1.72,2.24
2020-03-17,2.07,1.45,2.62,1.8,2.2800000000000002
2020-03-18,2.05,1.49,2.59,1.75,2.21
2020-03-19,2.09,1.52,2.57,1.84,2.27
2020-03-20,2.25,1.75,2.73,1.99,2.4
2020-03-21,2.34,1.85,2.77,2.1,2.48
2020-03-22,2.38,1.9100000000000001,2.77,2.19,2.54
2020-03-23,2.5,2.08,2.87,2.2800000000000002,2.61
2020-03-24,2.46,2.05,2.79,2.29,2.59
2020-03-25,2.22,1.84,2.5300000000000002,2.02,2.31
2020-03-26,1.97,1.61,2.27,1.82,2.09
2020-03-27,1.86,1.51,2.15,1.72,1.98
2020-03-28,1.8,1.45,2.07,1.62,1.8800000000000001
2020-03-29,1.83,1.52,2.11,1.6600000000000001,1.9100000000000001
2020-03-30,1.83,1.52,2.09,1.6600000000000001,1.9000000000000001
2020-03-31,1.77,1.47,2.02,1.61,1.84
2020-04-01,1.54,1.26,1.79,1.4000000000000001,1.62
2020-04-02,1.52,1.24,1.76,1.37,1.59
2020-04-03,1.27,1.0,1.51,1.1400000000000001,1.35
2020-04-04,1.25,0.97,1.48,1.12,1.33
2020-04-05,1.23,0.97,1.47,1.09,1.3
2020-04-06,1.01,0.75,1.25,0.87,1.08
2020-04-07,0.9400000000000001,0.65,1.16,0.8,1.01
2020-04-08,0.74,0.47000000000000003,0.98,0.62,0.8300000000000001
2020-04-09,0.49,0.19,0.72,0.34,0.56
2020-04-10,0.62,0.31,0.86,0.46,0.6900000000000001
2020-04-11,0.76,0.47000000000000003,1.02,0.61,0.84
2020-04-12,0.98,0.68,1.23,0.8300000000000001,1.06
2020-04-13,1.22,0.92,1.46,1.09,1.31
2020-04-14,1.27,0.98,1.51,1.1300000000000001,1.35
2020-04-15,1.32,1.04,1.56,1.17,1.3900000000000001
2020-04-16,1.11,0.81,1.33,0.99,1.2
2020-04-17,1.25,0.98,1.49,1.12,1.33
2020-04-18,1.34,1.07,1.57,1.19,1.4000000000000001
2020-04-19,1.5,1.23,1.72,1.3800000000000001,1.58
2020-04-20,1.67,1.41,1.8800000000000001,1.52,1.72
2020-04-21,1.54,1.3,1.75,1.41,1.6
2020-04-22,1.25,1.0,1.45,1.11,1.3
2020-04-23,0.9500000000000001,0.71,1.16,0.8200000000000001,1.01
2020-04-24,0.56,0.32,0.78,0.44,0.63
2020-04-25,0.47000000000000003,0.21,0.6900000000000001,0.33,0.53
2020-04-26,0.46,0.18,0.68,0.31,0.52
2020-04-27,0.5,0.23,0.74,0.37,0.58
