date,ML,Low_90,High_90,Low_50,High_50
2020-03-19,3.25,1.28,4.91,2.36,3.86
2020-03-20,3.16,1.9100000000000001,4.3,2.63,3.61
2020-03-21,2.69,1.69,3.56,2.23,3.0
2020-03-22,2.46,1.6300000000000001,3.2,2.06,2.71
2020-03-23,2.14,1.4000000000000001,2.79,1.82,2.39
2020-03-24,2.04,1.36,2.63,1.75,2.27
2020-03-25,1.92,1.29,2.47,1.61,2.1
2020-03-26,1.75,1.16,2.2800000000000002,1.49,1.95
2020-03-27,1.74,1.1500000000000001,2.23,1.5,1.94
2020-03-28,1.73,1.16,2.2,1.45,1.8800000000000001
2020-03-29,2.09,1.55,2.54,1.83,2.24
2020-03-30,2.54,2.05,2.96,2.29,2.67
2020-03-31,2.48,2.04,2.87,2.29,2.63
2020-04-01,2.44,2.02,2.79,2.23,2.5500000000000003
2020-04-02,2.21,1.83,2.5500000000000003,2.0100000000000002,2.31
2020-04-03,2.21,1.83,2.52,2.05,2.33
2020-04-04,2.15,1.8,2.45,1.97,2.24
2020-04-05,2.0300000000000002,1.7,2.32,1.85,2.11
2020-04-06,1.94,1.6,2.2,1.77,2.02
2020-04-07,1.82,1.52,2.09,1.6500000000000001,1.8900000000000001
2020-04-08,1.55,1.25,1.81,1.42,1.6500000000000001
2020-04-09,1.3900000000000001,1.08,1.6400000000000001,1.25,1.48
2020-04-10,1.35,1.05,1.6,1.2,1.43
2020-04-11,1.46,1.17,1.71,1.34,1.56
2020-04-12,1.43,1.1400000000000001,1.67,1.28,1.5
2020-04-13,1.37,1.09,1.61,1.21,1.43
2020-04-14,1.25,0.99,1.5,1.1300000000000001,1.34
2020-04-15,1.24,0.96,1.47,1.11,1.32
2020-04-16,1.41,1.1400000000000001,1.6400000000000001,1.27,1.48
2020-04-17,1.3800000000000001,1.11,1.6,1.26,1.46
2020-04-18,1.48,1.22,1.7,1.35,1.55
2020-04-19,1.44,1.18,1.6500000000000001,1.33,1.52
2020-04-20,1.3,1.05,1.51,1.18,1.37
2020-04-21,1.21,0.96,1.42,1.09,1.28
