date,ML,Low_90,High_90,Low_50,High_50
2020-02-20,5.08,3.71,6.34,4.48,5.5600000000000005
2020-02-21,4.37,3.47,5.16,3.93,4.63
2020-02-22,3.48,2.7600000000000002,4.1,3.16,3.71
2020-02-23,2.87,2.24,3.42,2.56,3.0500000000000003
2020-02-24,2.6,2.02,3.11,2.33,2.7800000000000002
2020-02-25,2.58,2.06,3.0700000000000003,2.32,2.74
2020-02-26,2.7600000000000002,2.2600000000000002,3.19,2.5500000000000003,2.93
2020-02-27,2.7,2.23,3.08,2.48,2.83
2020-02-28,2.39,1.96,2.75,2.16,2.49
2020-02-29,2.11,1.7,2.45,1.9100000000000001,2.22
2020-03-01,1.58,1.18,1.9100000000000001,1.3900000000000001,1.69
2020-03-02,1.1500000000000001,0.75,1.48,0.96,1.26
2020-03-03,0.85,0.46,1.2,0.65,0.96
2020-03-04,0.58,0.18,0.93,0.41000000000000003,0.72
2020-03-05,0.42,0.04,0.76,0.25,0.56
2020-03-06,0.21,0.0,0.5700000000000001,0.01,0.28
2020-03-07,0.0,0.0,0.4,0.0,0.14
2020-03-08,0.0,0.0,0.42,0.0,0.15
2020-03-09,0.0,0.0,0.4,0.0,0.13
2020-03-10,0.0,0.0,0.42,0.0,0.15
2020-03-11,0.0,0.0,0.51,0.0,0.2
2020-03-12,0.17,0.0,0.64,0.0,0.29
2020-03-13,0.25,0.0,0.75,0.05,0.39
2020-03-14,0.32,0.0,0.84,0.06,0.45
2020-03-15,0.24,0.0,0.8,0.0,0.36
2020-03-16,0.45,0.0,1.0,0.2,0.65
2020-03-17,0.64,0.04,1.23,0.35000000000000003,0.87
2020-03-18,0.98,0.25,1.61,0.64,1.21
2020-03-19,1.18,0.44,1.81,0.89,1.45
2020-03-20,1.1300000000000001,0.41000000000000003,1.75,0.8300000000000001,1.3800000000000001
2020-03-21,0.99,0.27,1.59,0.65,1.2
2020-03-22,0.81,0.12,1.4000000000000001,0.46,1.01
2020-03-23,0.68,0.05,1.27,0.35000000000000003,0.89
2020-03-24,0.71,0.04,1.3,0.39,0.9400000000000001
2020-03-25,0.85,0.15,1.48,0.51,1.08
2020-03-26,1.08,0.33,1.72,0.73,1.31
2020-03-27,1.17,0.42,1.8,0.8200000000000001,1.3900000000000001
2020-03-28,1.2,0.5,1.85,0.86,1.42
2020-03-29,1.1,0.41000000000000003,1.74,0.79,1.34
2020-03-30,1.01,0.33,1.6500000000000001,0.6900000000000001,1.24
2020-03-31,0.93,0.21,1.53,0.62,1.17
2020-04-01,0.8200000000000001,0.12,1.41,0.5,1.05
2020-04-02,0.79,0.09,1.3800000000000001,0.43,0.99
2020-04-03,0.68,0.02,1.26,0.33,0.88
2020-04-04,0.52,0.0,1.12,0.24,0.75
2020-04-05,0.42,0.0,1.05,0.16,0.64
2020-04-06,0.34,0.0,0.98,0.05,0.5
2020-04-07,0.27,0.0,0.91,0.06,0.46
2020-04-08,0.25,0.0,0.89,0.0,0.4
2020-04-09,0.27,0.0,0.92,0.01,0.42
2020-04-10,0.31,0.0,0.97,0.02,0.46
2020-04-11,0.34,0.0,1.04,0.04,0.51
2020-04-12,0.36,0.0,1.08,0.04,0.53
2020-04-13,0.42,0.0,1.17,0.09,0.62
2020-04-14,0.43,0.0,1.21,0.15,0.6900000000000001
2020-04-15,0.46,0.0,1.27,0.15,0.72
2020-04-16,0.42,0.0,1.24,0.09,0.65
2020-04-17,0.42,0.0,1.26,0.12,0.68
2020-04-18,0.38,0.0,1.23,0.05,0.6
2020-04-19,0.36,0.0,1.21,0.05,0.58
2020-04-20,0.36,0.0,1.22,0.03,0.5700000000000001
2020-04-21,0.39,0.0,1.28,0.08,0.64
2020-04-22,0.44,0.0,1.37,0.13,0.73
2020-04-23,0.48,0.0,1.44,0.14,0.78
2020-04-24,0.51,0.0,1.51,0.11,0.79
2020-04-25,0.54,0.0,1.57,0.2,0.9
2020-04-26,0.56,0.0,1.62,0.16,0.89
2020-04-27,0.58,0.0,1.67,0.19,0.9400000000000001
