date,ML,Low_90,High_90,Low_50,High_50
2020-03-15,4.29,2.32,5.98,3.45,4.95
2020-03-16,4.07,2.83,5.17,3.5300000000000002,4.49
2020-03-17,3.2800000000000002,2.31,4.15,2.82,3.58
2020-03-18,3.0100000000000002,2.15,3.74,2.64,3.29
2020-03-19,2.41,1.6400000000000001,3.09,2.04,2.64
2020-03-20,1.94,1.22,2.61,1.6300000000000001,2.2
2020-03-21,1.54,0.8,2.18,1.19,1.76
2020-03-22,1.24,0.51,1.8900000000000001,0.9,1.47
2020-03-23,1.01,0.27,1.6500000000000001,0.64,1.22
2020-03-24,1.1300000000000001,0.37,1.78,0.75,1.34
2020-03-25,1.1500000000000001,0.42,1.82,0.81,1.3900000000000001
2020-03-26,1.36,0.62,2.0100000000000002,1.04,1.61
2020-03-27,1.3,0.56,1.92,0.96,1.52
2020-03-28,1.33,0.6,1.94,1.0,1.55
2020-03-29,1.36,0.67,1.98,1.04,1.58
2020-03-30,1.58,0.92,2.19,1.32,1.84
2020-03-31,1.8,1.1400000000000001,2.36,1.51,2.0100000000000002
2020-04-01,1.77,1.16,2.32,1.48,1.96
2020-04-02,1.75,1.1500000000000001,2.27,1.48,1.94
2020-04-03,1.92,1.34,2.41,1.6500000000000001,2.09
2020-04-04,1.8,1.26,2.2800000000000002,1.55,1.97
2020-04-05,1.69,1.1500000000000001,2.14,1.43,1.84
2020-04-06,1.37,0.85,1.82,1.1300000000000001,1.53
2020-04-07,0.99,0.46,1.44,0.76,1.16
2020-04-08,0.73,0.22,1.2,0.48,0.89
2020-04-09,0.46,0.0,0.88,0.23,0.62
2020-04-10,0.41000000000000003,0.0,0.85,0.16,0.55
2020-04-11,0.86,0.29,1.36,0.56,1.01
2020-04-12,1.3800000000000001,0.8,1.86,1.09,1.53
2020-04-13,1.76,1.23,2.23,1.53,1.94
2020-04-14,1.6500000000000001,1.1500000000000001,2.1,1.43,1.82
2020-04-15,1.6500000000000001,1.17,2.09,1.42,1.8
2020-04-16,1.69,1.21,2.1,1.45,1.82
2020-04-17,1.27,0.8200000000000001,1.69,1.05,1.41
2020-04-18,1.59,1.12,1.98,1.4000000000000001,1.75
2020-04-19,1.53,1.08,1.9100000000000001,1.33,1.67
2020-04-20,1.6,1.18,1.98,1.41,1.74
2020-04-21,1.83,1.41,2.18,1.62,1.94
