date,ML,Low_90,High_90,Low_50,High_50
2020-03-04,4.0,2.09,5.62,3.16,4.61
2020-03-05,3.6,2.39,4.68,3.0700000000000003,4.01
2020-03-06,3.12,2.19,3.96,2.69,3.42
2020-03-07,3.27,2.49,3.94,2.89,3.49
2020-03-08,3.25,2.61,3.83,2.97,3.47
2020-03-09,3.18,2.61,3.67,2.9,3.34
2020-03-10,3.13,2.62,3.56,2.88,3.27
2020-03-11,2.91,2.48,3.3200000000000003,2.69,3.04
2020-03-12,2.75,2.35,3.12,2.5500000000000003,2.87
2020-03-13,2.72,2.35,3.06,2.52,2.82
2020-03-14,2.85,2.5,3.15,2.68,2.95
2020-03-15,2.79,2.47,3.06,2.61,2.86
2020-03-16,3.71,3.41,3.93,3.59,3.8000000000000003
2020-03-17,3.8200000000000003,3.58,4.01,3.7,3.88
2020-03-18,3.64,3.43,3.8000000000000003,3.5500000000000003,3.7
2020-03-19,3.27,3.1,3.42,3.16,3.3000000000000003
2020-03-20,2.93,2.7600000000000002,3.0500000000000003,2.84,2.96
2020-03-21,2.5,2.36,2.62,2.42,2.5300000000000002
2020-03-22,2.2800000000000002,2.15,2.39,2.21,2.31
2020-03-23,2.22,2.08,2.31,2.14,2.24
2020-03-24,2.21,2.09,2.3000000000000003,2.14,2.23
2020-03-25,2.15,2.0300000000000002,2.23,2.1,2.18
2020-03-26,1.98,1.8800000000000001,2.06,1.9100000000000001,1.99
2020-03-27,1.76,1.67,1.84,1.72,1.79
2020-03-28,1.7,1.6,1.77,1.6500000000000001,1.72
2020-03-29,1.57,1.48,1.6400000000000001,1.51,1.58
2020-03-30,1.56,1.48,1.6300000000000001,1.5,1.57
2020-03-31,1.62,1.54,1.69,1.59,1.6500000000000001
2020-04-01,1.61,1.53,1.67,1.56,1.62
2020-04-02,1.47,1.3900000000000001,1.53,1.42,1.48
2020-04-03,1.31,1.22,1.36,1.26,1.32
2020-04-04,1.1,1.03,1.16,1.05,1.11
2020-04-05,1.05,0.98,1.11,1.0,1.06
2020-04-06,1.01,0.9400000000000001,1.07,0.96,1.02
2020-04-07,1.09,1.02,1.1500000000000001,1.04,1.1
2020-04-08,1.1,1.02,1.1500000000000001,1.05,1.11
2020-04-09,1.09,1.01,1.1400000000000001,1.03,1.09
2020-04-10,0.91,0.8300000000000001,0.96,0.86,0.92
2020-04-11,0.78,0.71,0.84,0.73,0.79
2020-04-12,0.72,0.63,0.77,0.67,0.73
2020-04-13,0.8200000000000001,0.74,0.88,0.77,0.8300000000000001
2020-04-14,0.97,0.89,1.03,0.92,0.98
2020-04-15,1.18,1.1,1.24,1.1300000000000001,1.19
2020-04-16,1.16,1.07,1.21,1.11,1.17
2020-04-17,1.06,0.97,1.11,1.01,1.07
2020-04-18,1.09,1.02,1.1500000000000001,1.04,1.1
2020-04-19,1.02,0.9500000000000001,1.08,0.97,1.03
2020-04-20,1.06,0.99,1.12,1.01,1.07
2020-04-21,1.1500000000000001,1.08,1.21,1.1,1.16
